
Steps Product0 Product1 Product2 Product3 Product4 Product5 Product6 Product7 Product8 Picked0 Picked1 Picked2 PlanetVisited0 PlanetVisited1 PlanetVisited2 PlanetVisited3 PlanetVisited4 PlanetVisited5 LostCredits SameCredits EarnedCredits FailedBuy TradeBalance SkippingSell SkippingBuy
3300000 6133 12465 18448 17422 17306 15506 15183 10924 5069 38604 38594 41258 6736 6866 13669 6037 11874 5038 1212 0 2495 0 27530276 5967 6631 
3400000 6638 12774 19001 17386 17031 15299 14974 11100 4951 39091 38976 41087 6805 6722 13708 6331 10816 5298 1240 0 2409 0 26698354 6119 6473 
3500000 6268 12827 19214 17933 17136 15129 14533 10431 4506 38815 38320 40842 6994 6640 13366 6614 10902 5704 1208 1 2519 0 27594932 6077 6561 
3600000 6704 13240 19047 17144 16582 15118 15284 10874 5213 39045 38874 41287 7248 6116 13183 6560 11249 5324 1223 1 2466 0 24648077 6001 6423 
3700000 5927 12884 18763 17591 16869 15319 14797 10522 4745 38522 37951 40944 7613 5568 13221 6538 11789 5491 1234 0 2493 0 27649421 5945 6355 
3800000 6532 12724 18904 17304 17273 15334 14701 10045 4802 38957 37309 41353 7618 5318 12769 6743 11657 5575 1181 0 2492 0 28589035 6160 6526 
3900000 6001 12481 18518 17139 16969 15153 14412 10028 4633 38223 36768 40343 8063 5425 12924 6953 11359 5496 1208 0 2512 0 28715138 6383 6933 
4000000 6652 12436 18678 16609 16927 14822 14039 9843 4597 38247 36069 40287 8282 5363 12526 6831 10913 5765 1211 0 2477 0 26731890 6710 7129 


Steps Product0 Product1 Product2 Product3 Product4 Product5 Product6 Product7 Product8 Picked0 Picked1 Picked2 PlanetVisited0 PlanetVisited1 PlanetVisited2 PlanetVisited3 PlanetVisited4 PlanetVisited5 LostCredits SameCredits EarnedCredits FailedBuy TradeBalance SkippingSell SkippingBuy
4100000 6238 12841 18679 17029 16575 14450 13849 9491 4499 37895 35948 39808 8577 5171 12339 7049 11117 5967 1195 0 2528 0 27386606 6651 7178 
4200000 5995 12814 18963 17860 17347 15030 14013 9026 4424 38581 36371 40520 9171 4963 12081 7276 10313 5876 1159 0 2541 0 30931890 6396 6711 
4300000 6019 11971 18422 16739 17301 15143 14756 10086 4580 37849 36036 41132 9490 4643 11921 7450 10886 5830 1175 0 2573 0 28899140 6143 6686 
4400000 5835 12179 18359 17546 17412 15872 15254 10299 4690 39185 36550 41711 9535 4456 11971 7475 10762 5481 1192 0 2495 0 30214860 5893 6088 
4500000 5986 11775 17981 17121 17517 15754 15759 10887 5060 39329 36839 41672 8550 4682 12451 7710 11003 5824 1182 0 2537 0 26421598 5611 5898 
4600000 5596 11770 17644 17190 17209 15896 16306 10924 5236 39388 36661 41722 8702 4709 11883 7440 10748 6198 1224 0 2457 0 26438154 5839 6075 
4700000 6466 12864 18887 17069 16839 15197 15115 10244 4657 38867 36945 41526 8383 4561 11474 7284 11753 6765 1183 0 2548 0 31073026 5871 6328 
4800000 5932 11851 17835 17040 17137 16090 15679 10784 5046 38653 36968 41773 8677 5123 10529 7324 11912 6115 1141 0 2538 0 30907735 5928 6104 
4900000 6135 12658 18728 17338 16636 15026 14728 10189 4878 38115 36627 41574 8767 5446 10694 7635 11262 6416 1178 0 2542 0 27939706 5826 6255 
5000000 6429 12981 19367 17446 16798 14591 14328 9826 4822 38146 36483 41959 8894 5287 10013 7574 11491 6421 1187 0 2496 0 30119667 5947 6068 


Steps Product0 Product1 Product2 Product3 Product4 Product5 Product6 Product7 Product8 Picked0 Picked1 Picked2 PlanetVisited0 PlanetVisited1 PlanetVisited2 PlanetVisited3 PlanetVisited4 PlanetVisited5 LostCredits SameCredits EarnedCredits FailedBuy TradeBalance SkippingSell SkippingBuy
5100000 6288 12584 18773 17335 17146 14786 14597 9671 4991 38123 36115 41933 9030 5622 10350 8040 11452 5726 1183 0 2538 0 28774941 5655 5798 
5200000 5898 12503 18711 17369 17499 15292 14820 9940 4651 37934 36725 42024 9030 5948 9465 7803 11508 5926 1123 1 2555 0 32394331 5774 5991 
